STARTING APP .........

Beginning translation of logical addresses to physical addresses...
virt: 0xc6ec (pg:0xc6,off:0xec)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x66ec, val:    0	  tlb_Hits:  4
virt: 0x1b1e (pg:0x1b,off:0x1e)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x671e, val:    6	  tlb_Hits:  4
virt: 0x88b6 (pg:0x88,off:0xb6)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x68b6, val:   34	  tlb_Hits:  4

virt: 0x69bd (pg:0x69,off:0xbd)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x69bd, val:    0	  tlb_Hits:  4
virt: 0xcad6 (pg:0xca,off:0xd6)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x6ad6, val:   50	  tlb_Hits:  4
virt: 0xece5 (pg:0xec,off:0xe5)---> -----------, *IN_P_TBLE*, -----------,  phys: 0x1ce5, val:    0	  tlb_Hits:  4
virt: 0xa8ad (pg:0xa8,off:0xad)---> -----------, *IN_P_TBLE*, -----------,  phys: 0x44ad, val:    0	  tlb_Hits:  4
virt: 0x293f (pg:0x29,off:0x3f)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x6b3f, val:   79	  tlb_Hits:  4

virt: 0x1238 (pg:0x12,off:0x38)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x6c38, val:    0	  tlb_Hits:  4
virt: 0x6fa2 (pg:0x6f,off:0xa2)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x6da2, val:   27	  tlb_Hits:  4
virt: 0xe87c (pg:0xe8,off:0x7c)--->  *IN_TLB*  , ---------- , -----------,  phys: 0x657c, val:    0	  tlb_Hits:  5
virt: 0x9800 (pg:0x98,off:0x 0)---> -----------, *IN_P_TBLE*, -----------,  phys: 0x0f00, val:    0	  tlb_Hits:  5
virt: 0xf84a (pg:0xf8,off:0x4a)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x6e4a, val:   62	  tlb_Hits:  5

virt: 0xfd4e (pg:0xfd,off:0x4e)---> -----------, *IN_P_TBLE*, -----------,  phys: 0x084e, val:   63	  tlb_Hits:  5
virt: 0xf5da (pg:0xf5,off:0xda)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x6fda, val:   61	  tlb_Hits:  5
virt: 0x6a3a (pg:0x6a,off:0x3a)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x703a, val:   26	  tlb_Hits:  5
virt: 0x7084 (pg:0x70,off:0x84)---> -----------, *IN_P_TBLE*, -----------,  phys: 0x0584, val:    0	  tlb_Hits:  5
virt: 0xf107 (pg:0xf1,off:0x 7)---> -----------, *IN_P_TBLE*, -----------,  phys: 0x5707, val:   65	  tlb_Hits:  5

virt: 0x2af6 (pg:0x2a,off:0xf6)---> -----------, *IN_P_TBLE*, -----------,  phys: 0x30f6, val:   10	  tlb_Hits:  5
virt: 0x19c4 (pg:0x19,off:0xc4)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x71c4, val:    0	  tlb_Hits:  5
virt: 0x9359 (pg:0x93,off:0x59)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x7259, val:    0	  tlb_Hits:  5
virt: 0xa9a6 (pg:0xa9,off:0xa6)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x73a6, val:   42	  tlb_Hits:  5
virt: 0x58a4 (pg:0x58,off:0xa4)---> -----------, *IN_P_TBLE*, -----------,  phys: 0x0ba4, val:    0	  tlb_Hits:  5

virt: 0xf5fb (pg:0xf5,off:0xfb)--->  *IN_TLB*  , ---------- , -----------,  phys: 0x6ffb, val:  126	  tlb_Hits:  6
virt: 0xb815 (pg:0xb8,off:0x15)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x7415, val:    0	  tlb_Hits:  6
virt: 0xcd29 (pg:0xcd,off:0x29)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x7529, val:    0	  tlb_Hits:  6
virt: 0x8756 (pg:0x87,off:0x56)---> -----------, *IN_P_TBLE*, -----------,  phys: 0x4656, val:   33	  tlb_Hits:  6
virt: 0x8079 (pg:0x80,off:0x79)---> -----------, *IN_P_TBLE*, -----------,  phys: 0x1079, val:    0	  tlb_Hits:  6

virt: 0x32ff (pg:0x32,off:0xff)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x76ff, val:  -65	  tlb_Hits:  6
virt: 0xff88 (pg:0xff,off:0x88)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x7788, val:    0	  tlb_Hits:  6
virt: 0xf595 (pg:0xf5,off:0x95)--->  *IN_TLB*  , ---------- , -----------,  phys: 0x6f95, val:    0	  tlb_Hits:  7
virt: 0xdfe2 (pg:0xdf,off:0xe2)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x78e2, val:   55	  tlb_Hits:  7
virt: 0x3173 (pg:0x31,off:0x73)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x7973, val:   92	  tlb_Hits:  7

virt: 0x36e4 (pg:0x36,off:0xe4)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x7ae4, val:    0	  tlb_Hits:  7
virt: 0x80bc (pg:0x80,off:0xbc)--->  *IN_TLB*  , ---------- , -----------,  phys: 0x10bc, val:    0	  tlb_Hits:  8
virt: 0xc079 (pg:0xc0,off:0x79)---> -----------, *IN_P_TBLE*, -----------,  phys: 0x2179, val:    0	  tlb_Hits:  8
virt: 0xc4b0 (pg:0xc4,off:0xb0)---> -----------, *IN_P_TBLE*, -----------,  phys: 0x36b0, val:    0	  tlb_Hits:  8
virt: 0xc249 (pg:0xc2,off:0x49)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x7b49, val:    0	  tlb_Hits:  8

virt: 0x3cc3 (pg:0x3c,off:0xc3)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x7cc3, val:   48	  tlb_Hits:  8
virt: 0xb973 (pg:0xb9,off:0x73)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x7d73, val:   92	  tlb_Hits:  8
virt: 0x3be0 (pg:0x3b,off:0xe0)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x7ee0, val:    0	  tlb_Hits:  8
virt: 0x873d (pg:0x87,off:0x3d)--->  *IN_TLB*  , ---------- , -----------,  phys: 0x463d, val:    0	  tlb_Hits:  9
virt: 0xc8a5 (pg:0xc8,off:0xa5)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x7fa5, val:    0	  tlb_Hits:  9

virt: 0x8034 (pg:0x80,off:0x34)--->  *IN_TLB*  , ---------- , -----------,  phys: 0x1034, val:    0	  tlb_Hits: 10
virt: 0xbed7 (pg:0xbe,off:0xd7)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x80d7, val:  -75	  tlb_Hits: 10
virt: 0x2fc0 (pg:0x2f,off:0xc0)---> -----------, *IN_P_TBLE*, -----------,  phys: 0x0ac0, val:    0	  tlb_Hits: 10
virt: 0x07f3 (pg:0x 7,off:0xf3)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x81f3, val:   -4	  tlb_Hits: 10
virt: 0xec7b (pg:0xec,off:0x7b)---> -----------, *IN_P_TBLE*, -----------,  phys: 0x1c7b, val:   30	  tlb_Hits: 10

virt: 0x3903 (pg:0x39,off:0x 3)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x8203, val:   64	  tlb_Hits: 10
virt: 0x361d (pg:0x36,off:0x1d)--->  *IN_TLB*  , ---------- , -----------,  phys: 0x7a1d, val:    0	  tlb_Hits: 11
virt: 0x5e4f (pg:0x5e,off:0x4f)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x834f, val: -109	  tlb_Hits: 11
virt: 0x3b70 (pg:0x3b,off:0x70)--->  *IN_TLB*  , ---------- , -----------,  phys: 0x7e70, val:    0	  tlb_Hits: 12
virt: 0x1fb1 (pg:0x1f,off:0xb1)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x84b1, val:    0	  tlb_Hits: 12

virt: 0x5870 (pg:0x58,off:0x70)---> -----------, *IN_P_TBLE*, -----------,  phys: 0x0b70, val:    0	  tlb_Hits: 12
virt: 0x80d2 (pg:0x80,off:0xd2)---> -----------, *IN_P_TBLE*, -----------,  phys: 0x10d2, val:   32	  tlb_Hits: 12
virt: 0x98ef (pg:0x98,off:0xef)---> -----------, *IN_P_TBLE*, -----------,  phys: 0x0fef, val:   59	  tlb_Hits: 12
virt: 0x4c40 (pg:0x4c,off:0x40)---> -----------, *IN_P_TBLE*, -----------,  phys: 0x5840, val:    0	  tlb_Hits: 12
